SYMBOL	FC
1700010B13Rik	2.366205064
Treml2	2.366205064
Sucnr1	2.366205064
Otol1	2.366205064
Gm14327	2.366204795
Pde6h	2.366204652
Kprp	2.366204383
Fam47e	2.366203659
Cdh16	2.366203659
Klra2	2.366128009
Igha	2.365928892
Gm13144	2.365928892
Mir3081	2.365928876
1700071K01Rik	2.365926229
Tex43	2.365926229
4930442L01Rik	2.365926229
Olfr1564	2.365925466
4930414N06Rik	2.365925466
Cpa2	2.365925466
4932435O22Rik	2.3659239
Mcidas	2.3659239
4930444M15Rik	2.3659239
Vmn2r118	2.3659239
Gm17308	2.3659239
AI115009	2.3659239
Ifnab	2.3659239
NA	2.3659239
Gm19299	2.3659239
Esx1	2.3659239
Gm15941	2.365923508
Pabpc2	2.365923508
Mir684-1	2.365923508
Gm13031	2.365923508
Rpl31-ps21	2.365923508
1700054K19Rik	2.365923508
Mir195a	2.365923075
Tex21	2.365923075
Pnma2	2.365923075
Cplx4	2.365923075
4930547E08Rik	2.365923075
Mir182	2.365923075
Rln3	2.365923075
BC052688	2.365922819
A730089K16Rik	2.365922819
Tinag	2.365922819
Ddx3y	2.365922819
C2cd6	2.36582426
4930471C04Rik	2.365710785
AA619741	2.36564585
Neu4	2.36564585
Mir128-1	2.36564585
Crb1	2.36564585
Cfhr1	2.36564585
Gm4845	2.36564585
5033404E19Rik	2.36564585
Mir3962	2.36564585
NA	2.36564585
9230102K24Rik	2.36564585
1700064J06Rik	2.36564585
Mir26a-2	2.36564585
Gm11568	2.36564585
Mir680-3	2.36564585
1700060O08Rik	2.36564585
Gm19929	2.36564585
Mir668	2.36564585
A930002C04Rik	2.36564585
Trpc7	2.36564585
8030423J24Rik	2.36564585
Ear1	2.36564585
4930578I06Rik	2.36564585
BC005512	2.36564585
Gm2824	2.36564585
Mir599	2.36564585
Mir30b	2.36564585
Zdhhc19	2.36564585
1700022E09Rik	2.36564585
4930553J12Rik	2.36564585
Morc2b	2.36564585
Olfr92	2.36564585
Arl14epl	2.36564585
Lipn	2.36564585
NA	2.36564585
Mir1955	2.36564585
S100a5	2.36564585
Gm9799	2.36564585
1700009N14Rik	2.36564585
Gm19980	2.36564585
Mup2	2.36564585
Gm13285	2.36564585
Ifna11	2.36564585
Olfr1342	2.36564585
NA	2.36564585
Gm13043	2.36564585
Gm13128	2.36564585
Gm13119	2.36564585
1500035N22Rik	2.36564585
Grxcr1	2.36564585
Figla	2.36564585
Klri1	2.36564585
Klra7	2.36564585
Nphs1	2.36564585
Gm6605	2.36564585
Gm21115	2.36564585
Ntn5	2.36564585
Mrgpra9	2.36564585
Gm10578	2.36564585
NA	2.36564585
