EntrezGeneID	Lum.Preg	Lum.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
83771	0	1.20695731924873	0.0101271754099597	1.3531935557099	0.00136412631722515	90	88	69	78	42	27	52	47	3.734	3.883	3.205	3.897	1.888	1.228	2.103	1.906
14544	0	1.35791614500454	0.0101386973275306	3.88315098738413	0.0013673627552945	113	121	82	100	712	1026	1446	1303	4.689	5.339	3.809	4.996	32.012	46.661	58.486	52.844
209488	0	-2.16952387053436	0.0101386973275306	-1.16898606121714	0.0013675434858798	25	26	17	12	12	15	1	2	1.037	1.147	0.790	0.600	0.540	0.682	0.040	0.081
23917	0	1.02417438872874	0.0101486849807975	5.88878811754766	0.00137027038955016	1547	983	546	538	2242	1699	2418	2582	64.189	43.370	25.361	26.879	100.802	77.269	97.800	104.715
52850	0	2.12126006934569	0.0101522882165043	-0.80157771831097	0.00137161787891401	9	6	4	10	15	12	43	33	0.373	0.265	0.186	0.500	0.674	0.546	1.739	1.338
16952	0	-1.80279611320169	0.0101721222069489	7.70652440106506	0.00137504606454727	1883	2697	3978	3504	15965	20831	3730	2893	78.130	118.992	184.771	175.065	717.799	947.370	150.867	117.328
67416	0	-1.24135272847101	0.0101791192019817	4.99579122418625	0.00137748998950986	3644	2741	2196	2014	458	337	107	102	151.199	120.933	102.000	100.623	20.592	15.326	4.328	4.137
100502582	0	-2.58959214267794	0.0101791192019817	-3.36267322941103	0.00137744897299228	3	2	4	2	6	3	0	0	0.124	0.088	0.186	0.100	0.270	0.136	0.000	0.000
67169	0	-1.47042682473505	0.0101997649290327	3.10223429368321	0.00138080924217069	466	496	642	538	159	140	34	33	19.335	21.884	29.820	26.879	7.149	6.367	1.375	1.338
68338	0	-3.84359273227421	0.0102042609135615	-3.97802724684573	0.0013827773396394	1	0	0	1	10	12	0	0	0.041	0.000	0.000	0.050	0.450	0.546	0.000	0.000
11472	0	4.26838903082713	0.0102042609135615	-1.53548621694568	0.00138250372257665	5	9	59	55	0	1	7	14	0.207	0.397	2.740	2.748	0.000	0.045	0.283	0.568
77569	0	3.72329962972352	0.0102042609135615	2.64904661351372	0.00138314497242579	582	617	396	324	9	24	158	98	24.149	27.222	18.394	16.188	0.405	1.091	6.391	3.974
228662	0	-1.25043662613738	0.0102059969575956	3.43680743116498	0.00138450681712554	453	376	318	408	337	273	77	83	18.796	16.589	14.771	20.384	15.152	12.416	3.114	3.366
78787	0	-1.93069919921778	0.0102694358535314	4.84079057108253	0.00139575760855606	815	806	1106	1098	928	1307	218	150	33.816	35.561	51.372	54.858	41.724	59.441	8.817	6.083
56708	0	-2.16553357909942	0.0102699703631837	1.68253889081987	0.00139620811994421	337	349	269	224	54	43	5	8	13.983	15.398	12.495	11.191	2.428	1.956	0.202	0.324
245297	0	-1.91658902284024	0.010277069713678	0.535248594198044	0.00139906390745093	55	41	35	41	76	49	8	12	2.282	1.809	1.626	2.048	3.417	2.228	0.324	0.487
74424	0	1.10857423930425	0.0102847704860993	2.67253198910525	0.00140049065709016	44	27	34	23	711	453	800	747	1.826	1.191	1.579	1.149	31.967	20.602	32.357	30.295
18121	0	-2.6258481619213	0.0102865453414816	-0.00466310914121709	0.00140142862683275	127	94	27	27	23	36	3	2	5.270	4.147	1.254	1.349	1.034	1.637	0.121	0.081
233826	0	2.44259471604172	0.0102865453414816	0.051566215269513	0.00140148928950684	24	12	11	17	28	12	59	71	0.996	0.529	0.511	0.849	1.259	0.546	2.386	2.879
54120	0	1.57956592731003	0.0103102572902959	-0.348381305893821	0.00140585796084612	40	27	8	9	15	11	29	21	1.660	1.191	0.372	0.450	0.674	0.500	1.173	0.852
223753	0	1.26915176918529	0.0103422872364885	1.81836095460061	0.00141224461391232	168	152	187	147	35	28	52	44	6.971	6.706	8.686	7.344	1.574	1.273	2.103	1.784
20445	0	3.31992781446827	0.010350732635848	-4.44687367105713	0.0014140428373709	0	0	0	0	0	1	4	6	0.000	0.000	0.000	0.000	0.000	0.045	0.162	0.243
73102	0	-1.08307567487951	0.0103852900753758	5.05185262510025	0.00142005526966945	533	457	590	610	1698	2148	533	600	22.115	20.163	27.404	30.477	76.343	97.689	21.558	24.334
100529075	0	-1.34081328955077	0.0104116631069257	0.0490287258380875	0.00142504826365074	73	62	17	22	35	25	7	7	3.029	2.735	0.790	1.099	1.574	1.137	0.283	0.284
71840	0	5.03915858215024	0.0104231349380106	-3.38389545380766	0.00142776891622993	1	1	1	5	0	0	16	6	0.041	0.044	0.046	0.250	0.000	0.000	0.647	0.243
55987	0	1.20791252313676	0.0104301324513417	2.92241504334004	0.00142911119793945	2144	1845	4891	4880	9	6	10	12	88.960	81.402	227.178	243.812	0.405	0.273	0.404	0.487
21418	0	-1.42605769146833	0.0104827387976664	4.5103834670891	0.00143824765357438	637	488	591	822	1006	778	202	212	26.431	21.531	27.451	41.068	45.231	35.383	8.170	8.598
218973	0	1.61537990125621	0.0104933015858639	2.17591274659835	0.00144085512779882	120	89	47	40	158	78	224	210	4.979	3.927	2.183	1.998	7.104	3.547	9.060	8.517
18378	0	1.4907028643729	0.0104982815713829	-0.098900255747018	0.00144192520350168	10	7	9	4	53	36	87	70	0.415	0.309	0.418	0.200	2.383	1.637	3.519	2.839
100038575	0	2.86617347836696	0.0105072780716289	-4.46638857129679	0.00144432064739709	2	1	0	0	0	0	1	3	0.083	0.044	0.000	0.000	0.000	0.000	0.040	0.122
231997	0	1.03810902770518	0.0105106598868183	3.45907077248951	0.00144517222844991	546	467	340	389	137	118	143	189	22.655	20.604	15.792	19.435	6.160	5.367	5.784	7.665
243510	0	1.74373170955761	0.0105106603440213	1.1680580188059	0.00144555901122012	68	39	44	54	38	32	63	87	2.821	1.721	2.044	2.698	1.709	1.455	2.548	3.528
17872	0	1.24175462571352	0.0105630332566785	8.93497425031372	0.00145431444942969	17565	15319	20874	26011	4653	5752	6931	8523	728.815	675.877	969.561	1299.550	209.203	261.594	280.337	345.658
112418	0	-2.31495779341984	0.0105630332566785	-0.327958641085747	0.00145473615752684	50	28	40	40	22	24	2	3	2.075	1.235	1.858	1.998	0.989	1.091	0.081	0.122
