EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
11864	0	-0.720855927046497	0.0782336810110274	2.05586094867515	0.0159236441132125	268	158	103	115	54	74	21	14	11.120	6.971	4.784	5.746	2.428	3.365	0.849	0.568
20147	0	0.589401802220762	0.0782678622091439	1.32519177178298	0.015933481055344	96	104	132	126	5	3	4	2	3.983	4.588	6.131	6.295	0.225	0.136	0.162	0.081
18536	0	0.301264745531875	0.0782696390857504	6.23841052016946	0.0159367225689151	2629	2596	2814	2698	1360	1277	660	731	109.084	114.536	130.705	134.796	61.147	58.076	26.695	29.646
100217427	0	-0.843940301067705	0.0782700340785044	-0.452824333993094	0.0159396827927636	33	22	13	13	17	15	4	5	1.369	0.971	0.604	0.650	0.764	0.682	0.162	0.203
100503578	0	0.450318727858611	0.0782830227434434	3.34815833606465	0.0159454025609192	272	272	312	324	308	346	64	55	11.286	12.001	14.492	16.188	13.848	15.736	2.589	2.231
105835	0	-0.413442595950019	0.0782830227434434	5.05781839549347	0.0159480884848761	174	169	108	112	1095	963	1180	1326	7.220	7.456	5.016	5.596	49.232	43.796	47.727	53.777
18584	0	0.60572948520444	0.0784329626060866	2.11428936588436	0.0159815205457341	84	96	116	119	41	49	127	120	3.485	4.236	5.388	5.945	1.843	2.228	5.137	4.867
76192	0	0.325354943958909	0.0786165146234255	4.90449847375411	0.0160247062442981	546	570	604	594	1162	950	483	512	22.655	25.148	28.055	29.677	52.244	43.205	19.536	20.765
18439	0	0.343374582014653	0.0786165146234255	4.29856688093771	0.0160234020100214	661	673	668	780	402	344	153	153	27.427	29.693	31.027	38.970	18.074	15.645	6.188	6.205
208890	0	-0.769201885119883	0.0787831802949989	0.342224282014475	0.0160615770269174	31	37	17	17	25	38	34	19	1.286	1.632	0.790	0.849	1.124	1.728	1.375	0.771
100861634	0	-0.743096972650862	0.0788349091008491	0.181325585776656	0.0160750235931015	38	25	10	22	27	35	21	17	1.577	1.103	0.464	1.099	1.214	1.592	0.849	0.689
12166	0	0.508074374340487	0.0788441272825064	6.8545207579136	0.0160798041696506	3611	3213	4117	4164	1810	1719	1635	1581	149.829	141.758	191.227	208.040	81.379	78.178	66.131	64.119
216363	0	-0.387098210210124	0.0789055715953149	5.14058101262937	0.0160952385637597	399	321	251	218	1069	1225	1100	1120	16.555	14.163	11.659	10.892	48.063	55.712	44.491	45.423
19881	0	0.639918801184438	0.0789112880150332	1.3867257162507	0.0161029620545438	97	83	104	135	27	26	5	12	4.025	3.662	4.831	6.745	1.214	1.182	0.202	0.487
109676	0	-0.763558094447148	0.0789112880150332	3.48338546200243	0.0161051147805066	705	785	387	367	60	13	3	7	29.252	34.634	17.975	18.336	2.698	0.591	0.121	0.284
320554	0	0.636377466294791	0.0789112880150332	1.01672132674282	0.0161001984490951	70	74	109	83	4	13	8	11	2.904	3.265	5.063	4.147	0.180	0.591	0.324	0.446
21942	0	-2.79890465101529	0.0789660223747665	-2.04848000937018	0.0161191909980207	5	5	1	0	3	5	2	8	0.207	0.221	0.046	0.000	0.135	0.227	0.081	0.324
104001	0	0.356099376740698	0.0790262852177851	5.7429622477255	0.0161343999659108	2576	2813	2880	3039	3	7	2	1	106.885	124.110	133.771	151.833	0.135	0.318	0.081	0.041
19981	0	-0.501024808098241	0.0791408623308686	2.76400469473012	0.0161607044385857	249	181	127	131	203	190	87	96	10.332	7.986	5.899	6.545	9.127	8.641	3.519	3.893
268297	0	0.818016692363676	0.0791568273963156	1.94008499840544	0.0161668769593049	42	28	50	55	106	155	114	105	1.743	1.235	2.322	2.748	4.766	7.049	4.611	4.258
100504279	0	4.76359287847175	0.0794635772294367	-3.02210174607084	0.0162324508178311	0	0	4	3	0	0	0	0	0.000	0.000	0.186	0.150	0.000	0.000	0.000	0.000
17966	0	0.578333395508695	0.0795117984488934	7.28669522621745	0.0162452267113104	2395	2004	2759	2835	3625	3901	4391	4133	99.374	88.417	128.151	141.641	162.983	177.413	177.602	167.618
68778	0	0.427397265815646	0.0795305817163152	3.6245444857619	0.01625199053874	263	244	317	266	185	192	303	362	10.913	10.765	14.724	13.290	8.318	8.732	12.255	14.681
12461	0	-0.555796751277476	0.0796299165413206	7.25401216328807	0.0162781491704469	5243	4287	2896	2626	5306	4684	1979	1937	217.545	189.143	134.514	131.199	238.562	213.023	80.044	78.557
19288	0	-0.518682360857081	0.0796299165413206	6.09778576781096	0.0162755890514313	3762	5263	3130	2328	78	42	47	51	156.095	232.204	145.383	116.311	3.507	1.910	1.901	2.068
100043609	0	2.69660272284605	0.0798037670602108	-1.81356058232967	0.0163195605916572	0	1	2	5	13	12	2	2	0.000	0.044	0.093	0.250	0.584	0.546	0.081	0.081
227659	0	-0.875402348154448	0.0798037670602108	-0.28868314688725	0.0163186538460551	42	23	22	8	7	14	8	14	1.743	1.015	1.022	0.400	0.315	0.637	0.324	0.568
