SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Dctd,0,-2.3244879689885,5.60480029384418e-18,3.13475140747015,2.49523836622078e-20,342,303,286,246,44,46,246,146,339,330,88,84,16.771,13.958,11.867,10.854,2.044,2.298,11.060,6.640,14.595,15.153,3.559,3.407
Nol9,0,-1.44644971339468,8.53390352111958e-18,5.34410692740589,3.83066422449902e-20,1187,1163,1577,1180,467,390,1192,1078,1208,1264,347,461,58.209,53.574,65.434,52.062,21.691,19.485,53.593,49.026,52.007,58.041,14.035,18.696
Rrp15,0,-1.50543631144262,9.71301674072066e-18,4.66723196348147,4.39567702678039e-20,828,706,877,614,234,210,821,657,808,700,330,307,40.604,32.522,36.389,27.090,10.869,10.492,36.913,29.880,34.786,32.143,13.347,12.451
Ptprz1,0,3.16049125960055,1.02952997448545e-17,4.34507443886639,4.69707188771461e-20,862,756,88,193,1309,878,18,15,1261,666,7,4,42.271,34.826,3.651,8.515,60.801,43.866,0.809,0.682,54.289,30.581,0.283,0.162
Alkbh1,0,-1.43394778298356,1.11416138322677e-17,4.01938964186218,5.16517658068998e-20,509,500,639,517,194,169,358,320,488,471,179,213,24.961,23.033,26.514,22.810,9.011,8.444,16.096,14.553,21.009,21.627,7.240,8.638
Dhcr24,0,1.51345089206278,1.11416138322677e-17,5.72611128790519,5.16172089057505e-20,1713,1935,630,412,1281,1231,701,513,841,649,1700,1572,84.003,89.137,26.140,18.178,59.500,61.503,31.518,23.331,36.207,29.801,68.760,63.754
Kntc1,0,-2.34903345852178,1.21979121268416e-17,3.83753465104152,5.69974921854696e-20,489,482,284,233,49,37,327,188,365,341,514,375,23.980,22.204,11.784,10.280,2.276,1.849,14.702,8.550,15.714,15.658,20.790,15.208
Tpx2,0,-2.42628608441209,2.22936473553747e-17,4.09241756769645,1.04992341936347e-19,405,548,448,350,82,44,421,256,396,375,622,421,19.861,25.244,18.589,15.442,3.809,2.198,18.928,11.643,17.049,17.219,25.158,17.074
Diaph3,0,-2.36591459726972,2.46310837289039e-17,3.17109316464386,1.16906795725693e-19,364,389,280,213,52,29,150,128,259,331,166,144,17.850,17.920,11.618,9.398,2.415,1.449,6.744,5.821,11.151,15.199,6.714,5.840
Kif15,0,-2.66828390087424,2.55065421104078e-17,2.92963174971745,1.22000458970272e-19,329,316,163,138,19,21,212,131,171,196,178,173,16.134,14.557,6.763,6.089,0.883,1.049,9.532,5.958,7.362,9.000,7.200,7.016
Nipal2,0,1.53233270922752,3.88088259168409e-17,5.7404875893233,1.87054571364147e-19,1045,916,803,994,2375,2083,979,1114,1100,982,797,873,51.245,42.196,33.318,43.855,110.315,104.070,44.017,50.663,47.357,45.092,32.236,35.405
