EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM
232016	0	2.57163015980881	1.72611827619602e-38	6.52850662854219	2.03229643615559e-41	544	709	2900	3559	22.572	31.281	134.700	177.813
215384	0	-2.74145562551017	2.07803436145497e-38	3.73742687726785	2.52309260561514e-41	593	491	65	74	24.605	21.663	3.019	3.697
20310	0	-2.10886971847245	9.27931840978939e-38	4.8081831610201	1.16081101561073e-40	1185	963	239	189	49.169	42.488	11.101	9.443
214685	0	-2.31764105159904	1.05970483802874e-37	6.01618576834155	1.36464436995496e-40	3118	2026	421	459	129.373	89.387	19.555	22.932
14115	0	-2.26702726946647	2.07660562848635e-36	6.35863260578996	2.75057222949736e-39	3877	2607	524	625	160.866	115.021	24.339	31.226
20317	0	-1.71600695959084	5.14605441686498e-36	6.35043270735631	7.00555625387263e-39	3043	2877	813	741	126.262	126.934	37.762	37.022
14299	0	-2.19730798042134	2.44317138519315e-35	4.33383991586657	3.41589141018211e-38	776	775	162	130	32.198	34.193	7.525	6.495
16669	0	2.29490736008721	4.83082182901827e-35	8.18476635673077	6.93189783773179e-38	2143	2507	10011	9770	88.918	110.609	464.994	488.124
68567	0	-2.99517479641593	2.66848227681291e-34	3.30756585274168	3.92727072638862e-37	434	382	54	34	18.008	16.854	2.508	1.699
170770	0	-2.49943554038226	2.97024353960109e-34	4.6852918007557	4.4806646721235e-37	1056	998	120	192	43.816	44.032	5.574	9.593
16819	0	-1.79470625164562	4.86850751711657e-34	10.7174990799286	7.52335684605379e-37	62380	61501	17705	13184	2588.300	2713.435	822.366	658.693
14586	0	1.85004621680494	1.00219949540641e-33	5.00586981900555	1.5855836602699e-36	325	337	1012	1048	13.485	14.868	47.006	52.360
12654	0	-2.34378907883784	1.10921347991015e-33	7.01431812807752	1.79570231119786e-36	4786	5395	1007	734	198.583	238.028	46.773	36.672
12833	0	2.56715106005118	1.24512898364361e-33	8.02949137402681	2.06154767518903e-36	1517	2032	9558	8749	62.944	89.652	443.952	437.114
11636	0	-2.73808117271564	1.31296853643848e-33	6.83817970703897	2.22217714692115e-36	4425	4953	771	451	183.604	218.527	35.812	22.533
74747	0	-2.17553242994268	1.44920678863187e-33	7.35637091522069	2.50607892364317e-36	6753	5981	1089	1332	280.199	263.883	50.582	66.549
18787	0	-2.66202723087751	3.65733027570174e-33	8.31694757907365	6.45909905565634e-36	13247	12846	2206	1364	549.651	566.768	102.465	68.148
217166	0	-2.30722529831132	4.04271502248935e-33	6.8436702119799	7.28845932896641e-36	5634	3511	849	728	233.769	154.906	39.435	36.372
53311	0	-2.12003841705666	9.58116446772867e-33	4.77265097642989	1.76260430253664e-35	991	1092	233	182	41.119	48.179	10.822	9.093
12424	0	4.00484006856985	2.00182039110047e-32	3.10868833489442	3.75631332816233e-35	18	30	265	404	0.747	1.324	12.309	20.184
50786	0	-1.75788648193285	2.63743354642669e-32	4.97083686849379	5.14308760295135e-35	1186	1096	289	292	49.210	48.356	13.424	14.589
11520	0	-1.65903487210121	2.63743354642669e-32	6.58881214553139	5.05030478051706e-35	3724	3214	918	970	154.518	141.802	42.640	48.463
76509	0	-2.7681876231875	8.72799161857291e-32	6.47064040167401	1.73410187057264e-34	3965	3371	611	319	164.518	148.729	28.380	15.938
620695	0	-1.76170868737455	1.43410477006918e-31	5.54785537740487	2.9020847843484e-34	1701	1706	468	400	70.579	75.269	21.738	19.985
14219	0	-2.01035509593044	6.52614197675393e-31	11.0714905562889	1.34465561903757e-33	81859	81508	14231	20653	3396.531	3596.147	661.005	1031.856
381290	0	2.13876766575606	1.42946806282822e-30	7.6277459735223	2.99789100339265e-33	1668	1795	7334	5880	69.209	79.196	340.652	293.774
76123	0	2.15917786597144	2.09947629402019e-30	7.21749885635503	4.48028349288682e-33	1195	1377	4638	5302	49.583	60.753	215.427	264.896
66234	0	2.03328389689056	4.62801207469494e-30	5.25310336077662	1.00464591194305e-32	404	311	1458	1060	16.763	13.721	67.722	52.959
109731	0	-2.77379314860494	5.09073995013084e-30	3.85744178178673	1.12382500094871e-32	696	491	58	90	28.879	21.663	2.694	4.497
83554	0	-1.68157362374668	9.93172261372996e-30	5.18802100527383	2.22905581308189e-32	1361	1262	382	323	56.471	55.680	17.743	16.138
12268	0	-2.18294047053919	1.95074414099802e-29	5.88675135983284	4.44998479494748e-32	1975	2570	478	393	81.948	113.389	22.202	19.635
22354	0	2.2983504571165	2.0640850974865e-29	4.40959905909544	4.78447923549981e-32	204	140	632	815	8.464	6.177	29.355	40.719
17131	0	-1.97173308320519	2.27488077282181e-29	7.51033592645282	5.35679640386312e-32	7211	6571	1687	1344	299.202	289.914	78.358	67.148
20482	0	-1.89033820333921	3.30252755687344e-29	8.36967329460266	7.8981673791079e-32	13328	11439	3110	2641	553.011	504.691	144.454	131.948
11555	0	-1.58603926319277	4.12353857752652e-29	5.84027882510366	1.00133759931105e-31	2232	1845	574	592	92.611	81.402	26.661	29.577
229595	0	1.95062367450203	4.49901813192024e-29	5.44260178450374	1.10907029264747e-31	385	460	1328	1499	15.975	20.295	61.683	74.892
16590	0	-3.76736224158674	6.6910692214155e-29	2.29209023783416	1.67405977797658e-31	199	214	13	13	8.257	9.442	0.604	0.650
26897	0	-2.11177924329061	1.0216258368906e-28	4.85545258973831	2.59362679809602e-31	1272	953	185	255	52.778	42.047	8.593	12.740
24117	0	-1.8252182088458	2.4520230225842e-28	7.94618536290569	6.31522909529027e-31	9573	8683	2243	2193	397.207	383.095	104.183	109.566
12834	0	2.3989211590525	2.80296745921388e-28	7.53624333383152	7.32222265735257e-31	1171	1611	6760	6022	48.588	71.078	313.990	300.869
194126	0	1.70659692062353	3.15108389509428e-28	4.70238110388758	8.34754922722646e-31	306	275	792	840	12.697	12.133	36.787	41.968
74134	0	2.058793546948	4.21539249361237e-28	4.40252887734012	1.13221108956806e-30	180	208	645	752	7.469	9.177	29.959	37.571
72515	0	-1.92967189699908	6.77130667926491e-28	6.6724100739045	1.84361710977447e-30	4353	3338	1015	720	180.617	147.273	47.145	35.972
26934	0	-2.58382068480068	1.64641184887911e-27	3.34526893051791	4.54324620721635e-30	465	347	64	52	19.294	15.310	2.973	2.598
20135	0	-1.81190638487248	1.69445576697927e-27	4.88109449869653	4.73816690424315e-30	1204	965	301	230	49.957	42.576	13.981	11.491
73847	0	-1.47950131359938	4.14925375686205e-27	6.47775630156316	1.17551248860656e-29	3288	2932	947	972	136.427	129.360	43.987	48.563
235036	0	-1.58611103761944	7.24171890980665e-27	5.29178155877708	2.07827394298877e-29	1450	1326	434	363	60.164	58.503	20.159	18.136
67971	0	2.59453667404705	7.58450950451557e-27	7.66800956089999	2.20455591028636e-29	1070	1639	7490	6801	44.397	72.313	347.897	339.789
101612	0	-1.99736010347277	1.48652380888249e-26	4.83035475150413	4.37550699843996e-29	1256	900	269	194	52.115	39.708	12.495	9.693
13400	0	1.79239235241936	2.30744147393579e-26	8.16246827061474	6.87673422086165e-29	3057	3028	9595	8611	126.842	133.596	445.671	430.219
74137	0	-1.68103471455699	5.46304585260921e-26	5.28511311762569	1.64822016966759e-28	1568	1249	423	332	65.060	55.106	19.648	16.587
16770	0	1.58448133311816	8.2365316438643e-26	4.99597902780463	2.51529536201014e-28	375	382	1029	932	15.560	16.854	47.795	46.564
329739	0	1.51464549672681	1.01592795545344e-25	5.5694486215678	3.13984871621801e-28	655	519	1450	1430	27.178	22.898	67.350	71.445
68026	0	-4.19790744945704	1.58100721498557e-25	1.92599466223604	4.94446496463349e-28	174	150	13	2	7.220	6.618	0.604	0.100
12173	0	-1.8823462421191	3.00450294815572e-25	4.42427765296057	9.50687124402634e-28	744	836	197	174	30.870	36.884	9.150	8.693
16906	0	-1.84017247530626	3.50863552101777e-25	5.39488946943091	1.12311450137439e-27	1887	1245	377	370	78.296	54.930	17.511	18.486
545370	0	1.55931354975913	1.27027580308083e-24	6.92078777456239	4.11289122745917e-27	1434	1474	3881	3527	59.500	65.033	180.266	176.214
57266	0	2.0290270568509	1.36209948143464e-24	11.5281522705317	4.46031325095414e-27	21550	32913	97158	96874	894.162	1452.127	4512.820	4839.977
170459	0	1.59094591989463	1.75248391162756e-24	4.53875802076401	5.80314036743369e-27	289	262	735	695	11.991	11.559	34.139	34.723
22339	0	-1.78829496145026	3.06220795760404e-24	8.82786071646141	1.0252802683762e-26	17336	16104	4752	3608	719.313	710.511	220.722	180.261
59031	0	2.19241088251938	4.51362010201521e-24	3.70900399676739	1.52784520911512e-26	106	117	403	477	4.398	5.162	18.719	23.832
18430	0	1.94937578362662	5.90210761153731e-24	10.1464246769792	2.0195592474814e-26	9204	12698	35996	37615	381.897	560.238	1671.952	1879.304
56636	0	-5.41336845512004	9.24086405750046e-24	1.2912035432031	3.19600140330786e-26	133	78	2	2	5.518	3.441	0.093	0.100
12737	0	-3.27925137992063	1.78652699623891e-23	2.27145930804139	6.24452940294699e-26	229	170	15	20	9.502	7.500	0.697	0.999
14113	0	-1.58960597224236	2.12209992777631e-23	5.25906348336486	7.49555145761529e-26	1502	1221	437	341	62.322	53.871	20.298	17.037
12475	0	-1.66623631901981	2.18759556828895e-23	4.33634888666027	7.80737959910327e-26	754	690	212	180	31.285	30.443	9.847	8.993
404710	0	-3.07706411837438	2.20438198476715e-23	2.50258228588929	7.94839525027339e-26	272	193	25	22	11.286	8.515	1.161	1.099
235505	0	1.98464080857659	2.35692781460894e-23	6.13885278523396	8.58515227367767e-26	566	772	2566	2048	23.485	34.061	119.186	102.321
21923	0	1.72614916115365	5.57801338485586e-23	4.36915857058049	2.05232473043742e-25	221	234	709	593	9.170	10.324	32.932	29.627
76964	0	4.27269321010577	6.08851284437705e-23	0.651029435413615	2.26255490372009e-25	0	7	62	59	0.000	0.309	2.880	2.948
17219	0	-1.97673102472568	8.21533704062618e-23	4.3281175376931	3.08313174930597e-25	918	598	173	156	38.090	26.384	8.036	7.794
17215	0	-2.03106835307221	1.21476472348477e-22	4.0294210103031	4.60358241726816e-25	733	504	143	116	30.414	22.237	6.642	5.796
17476	0	-3.93206582553114	1.49539001807678e-22	1.13867959392879	5.72208550277732e-25	94	87	6	4	3.900	3.838	0.279	0.200
20271	0	-2.08035108532501	1.6868686068661e-22	3.83000998809148	6.51684034441813e-25	627	454	122	97	26.016	20.031	5.667	4.846
20448	0	-1.72033554150958	1.8319373476726e-22	4.04356537191463	7.14468372100872e-25	637	551	159	151	26.431	24.310	7.385	7.544
20296	0	-1.74941955740827	1.83848718422538e-22	7.15979842757384	7.23787220692871e-25	5614	4853	1533	1150	232.939	214.115	71.205	57.456
12985	0	-1.75774559532506	1.94529250600156e-22	6.63111311568661	7.72992349417449e-25	3322	3881	1050	800	137.838	171.230	48.771	39.969
71819	0	-2.82153400227047	2.30902297370735e-22	3.04518506335273	9.26021943905594e-25	417	256	39	42	17.302	11.295	1.811	2.098
230863	0	-1.91406682782874	3.67970651839898e-22	4.59725334619035	1.48926640797633e-24	1060	751	243	169	43.982	33.134	11.287	8.444
11535	0	-1.38007498590305	3.88080411154172e-22	5.54007076207772	1.5849341638071e-24	1629	1547	540	512	67.591	68.254	25.082	25.580
14585	0	-2.27093567986486	7.74548403510478e-22	3.09640622491279	3.19178119846843e-24	339	317	63	54	14.066	13.986	2.926	2.698
319909	0	-1.31004385513224	1.36424797274403e-21	6.30355858854394	5.67202696641065e-24	2799	2535	897	954	116.137	111.845	41.664	47.663
16665	0	1.95089519972742	1.38710360165633e-21	9.96221350512872	5.81808788361682e-24	7980	11269	35136	29786	331.110	497.190	1632.006	1488.155
19283	0	3.14276102822894	1.50927747419926e-21	4.88579425826666	6.38606679910647e-24	88	193	1309	878	3.651	8.515	60.801	43.866
100340	0	-3.19376063745757	1.52544781297117e-21	2.8740244698876	6.51061283728821e-24	387	226	36	21	16.058	9.971	1.672	1.049
53624	0	-3.2483739083255	1.56643953560776e-21	2.77089244589229	6.7431997375219e-24	368	204	24	27	15.269	9.001	1.115	1.349
14313	0	-1.69690426357086	1.75636721428288e-21	8.4188635069193	7.62542151239487e-24	13702	11200	3704	2904	568.530	494.146	172.044	145.088
107094	0	-1.72115121222178	2.09421519725636e-21	5.9735051723905	9.1692707043492e-24	2794	1809	647	546	115.930	79.813	30.052	27.279
16598	0	1.90821549467116	3.39616960749422e-21	6.68233870076729	1.49946779829761e-23	1046	1005	2652	3963	43.401	44.341	123.181	197.998
68743	0	-1.87052513423653	4.10151514149009e-21	3.75874637233011	1.82598083858972e-23	544	452	123	111	22.572	19.942	5.713	5.546
20344	0	-1.47908366799605	4.32534735103379e-21	5.58916252528181	1.94154448959168e-23	1587	1748	521	514	65.849	77.122	24.200	25.680
52033	0	-3.2293854423774	4.93435524655071e-21	2.2658269422087	2.2330685283702e-23	240	157	20	16	9.958	6.927	0.929	0.799
16980	0	1.85817775135442	4.93964561631084e-21	3.89106361335355	2.25363720674986e-23	141	163	495	459	5.850	7.192	22.992	22.932
16071	0	-6.19577065608392	6.0077417809207e-21	1.14807973532164	2.76304397739095e-23	129	63	2	0	5.353	2.780	0.093	0.000
320297	0	4.1726560476703	9.78465215021087e-21	1.17763012547849	4.53609835139839e-23	2	9	104	72	0.083	0.397	4.831	3.597
23871	0	-1.81862794078381	1.0408447159221e-20	7.41390347056384	4.86358140189507e-23	7411	5275	1742	1341	307.501	232.734	80.913	66.998
56615	0	-1.34408379794059	2.4932395065935e-20	6.7292355979885	1.17419572774557e-22	3580	3617	1273	1176	148.543	159.583	59.129	58.755
74155	0	-1.01542118546528	3.12148125016324e-20	11.8183325515814	1.48155223249957e-22	118863	110519	54231	43710	4931.918	4876.117	2518.936	2183.820
55987	0	1.51041464586254	3.88013898038887e-20	7.33401369273455	1.85591106166729e-22	2144	1845	4891	4880	88.960	81.402	227.178	243.812
52040	0	1.8502453464618	3.96717851632066e-20	7.86475589659549	1.91213946663971e-22	2506	2302	6307	8583	103.980	101.565	292.949	428.820
72119	0	-2.44411565199738	4.94354411169901e-20	3.34159075669889	2.4009265342517e-22	448	350	82	44	18.589	15.442	3.809	2.198
79362	0	-1.78846212871089	5.0136270280325e-20	7.23303954493622	2.45341033418567e-22	5241	5769	1590	1175	217.462	254.529	73.853	58.705
213393	0	-1.66474308435793	5.03693608413468e-20	4.39132477574317	2.50188149438236e-22	715	779	190	217	29.667	34.370	8.825	10.842
68108	0	-1.55103840980204	5.03693608413468e-20	4.38577679244736	2.48995130059996e-22	821	650	229	202	34.065	28.678	10.637	10.092
59028	0	-1.91305278084383	6.14562712707429e-20	4.22516372702877	3.07518778940397e-22	859	540	165	152	35.642	23.825	7.664	7.594
20677	0	-1.5285780036113	7.40019296662003e-20	7.81155095027972	3.73018299579434e-22	8018	7787	2396	2330	332.687	343.564	111.290	116.410
74035	0	-1.46441087479973	9.24682332005541e-20	5.30574254738772	4.69502784564424e-22	1577	1180	467	390	65.434	52.062	21.691	19.485
69573	0	-1.62586526749829	1.01417211036855e-19	4.82333535817621	5.18672222455675e-22	1207	823	274	288	50.081	36.311	12.727	14.389
18019	0	1.9885995240641	1.05917409878188e-19	8.63226035687903	5.45584362299801e-22	3223	4289	14652	11334	133.730	189.231	680.560	566.264
22373	0	1.70892569801277	1.07607360496002e-19	8.70911961285798	5.58248568009721e-22	4167	5075	13455	12773	172.899	223.910	624.961	638.159
319530	0	-4.09617008260955	1.41867871805612e-19	0.991229375248606	7.41205997144738e-22	99	65	6	2	4.108	2.868	0.279	0.100
12739	0	-2.33568746438494	1.53310081038956e-19	3.07802347178892	8.06627969703475e-22	387	269	54	57	16.058	11.868	2.508	2.848
237175	0	2.13108357220764	1.93639143145591e-19	3.18136876885582	1.02594049129715e-21	74	86	324	283	3.070	3.794	15.049	14.139
60599	0	1.25267834478031	1.94749943377858e-19	6.14590146382713	1.03899119871185e-21	1009	977	2019	2061	41.866	43.105	93.779	102.971
320685	0	-2.34264060444457	2.46587898789259e-19	2.78727233584383	1.32461949384568e-21	286	246	44	46	11.867	10.854	2.044	2.298
52530	0	-1.57469984973742	2.84896183009099e-19	4.49327468197544	1.54088593775847e-21	918	677	246	213	38.090	29.869	11.426	10.642
17218	0	-2.30404430503756	4.23867828175336e-19	3.86231561888582	2.32371707561445e-21	726	416	111	86	30.124	18.354	5.156	4.297
12261	0	-1.31221165277367	4.23867828175336e-19	5.63585291413915	2.3161655857945e-21	1859	1505	621	543	77.134	66.401	28.844	27.129
231801	0	1.46697534548716	4.83009577341007e-19	4.62227283236635	2.66571384529052e-21	350	274	803	680	14.522	12.089	37.298	33.974
110196	0	1.79066080835561	4.95963052902322e-19	4.38871905550271	2.75545167181466e-21	284	167	689	644	11.784	7.368	32.003	32.175
23961	0	1.80613900522644	6.18041933170767e-19	3.66275408849157	3.46467694612029e-21	154	115	412	396	6.390	5.074	19.137	19.785
14287	0	-1.42663961802753	6.18041933170767e-19	5.30893266294145	3.47917199952638e-21	1348	1375	490	386	55.932	60.665	22.760	19.285
667766	0	1.80262672642186	6.56066226040734e-19	4.13352791616727	3.71736262593447e-21	192	180	479	637	7.967	7.942	22.249	31.826
13139	0	1.34184130136047	6.70551094730415e-19	5.92768828879649	3.82410757140492e-21	786	844	1740	1830	32.613	37.237	80.820	91.430
71874	0	-6.00714095731074	6.91425509753584e-19	0.168168286690276	3.96859264585007e-21	56	36	0	1	2.324	1.588	0.000	0.050
18008	0	-1.65372936636784	6.97381333753201e-19	4.34545461515102	4.02843627062263e-21	856	603	212	185	35.518	26.604	9.847	9.243
329738	0	3.48974143245711	7.57637317820498e-19	1.45651829100243	4.40438192044e-21	5	16	108	99	0.207	0.706	5.016	4.946
