SYMBOL,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Nacc2,0,-1.13287159899864,7.607512915963e-9,4.97734860909373,5.08585708389005e-10,248,289,1347,1396,1621,1525,230,228,1012,1028,71,59,12.162,13.313,55.890,61.592,75.293,76.191,10.341,10.369,43.569,47.204,2.872,2.393
Bend3,0,-1.05978376588729,7.8319347628816e-9,5.19840079356237,5.23877162475395e-10,841,741,1559,1178,780,847,496,372,2041,1837,127,131,41.241,34.135,64.687,51.974,36.230,42.317,22.301,16.918,87.869,84.352,5.137,5.313
Ikzf1,0,1.12127026949091,7.83796569695193e-9,3.40984014592142,5.24568954073202e-10,236,215,41,31,24,17,418,348,21,16,489,546,11.573,9.904,1.701,1.368,1.115,0.849,18.794,15.827,0.904,0.735,19.778,22.144
Esyt3,0,1.38898637645571,7.86780213279382e-9,5.08777767184148,5.26855288336023e-10,849,1447,77,71,7,22,1072,816,181,109,1416,1648,41.634,66.657,3.195,3.133,0.325,1.099,48.198,37.111,7.792,5.005,57.273,66.836
Phax,0,-1.02267737374857,8.12335516012923e-9,4.55338684546892,5.44565771432189e-10,730,685,825,754,613,609,435,357,742,804,104,138,35.798,31.555,34.231,33.267,28.473,30.427,19.558,16.236,31.945,36.918,4.206,5.597
Lman1,0,1.41104292133269,8.61153624532696e-9,6.92333965702737,5.7824252723506e-10,2449,2515,1596,1542,1302,1332,3175,2109,1937,2070,4181,4497,120.095,115.855,66.222,68.033,60.476,66.549,142.750,95.915,83.392,95.051,169.108,182.380
Grwd1,0,-1.03353848156093,8.6448894731413e-9,4.900793797503,5.80800183154495e-10,1030,962,1256,900,269,194,722,575,1287,1200,190,203,50.510,44.315,52.115,39.708,12.495,9.693,32.462,26.150,55.408,55.102,7.685,8.233
Wdfy3,0,1.15028016481557,8.74327023526857e-9,6.01095296192993,5.87731510351215e-10,1842,1763,1760,2034,2567,2290,254,183,2823,2912,346,255,90.329,81.214,73.027,89.740,119.233,114.412,11.420,8.323,121.536,133.714,13.995,10.342
Ttc38,0,1.09183202137031,8.74433347925208e-9,3.9108945055561,5.8812471393623e-10,447,387,231,255,302,340,306,298,220,244,417,385,21.920,17.827,9.585,11.251,14.027,16.987,13.758,13.553,9.471,11.204,16.866,15.614
Fndc4,0,-1.39023563584845,8.74999868906904e-9,5.51919302990948,5.89149622907257e-10,1030,837,2477,2060,1087,1077,185,153,2528,2509,51,29,50.510,38.557,102.777,90.888,50.489,53.809,8.318,6.958,108.836,115.209,2.063,1.176
Kctd15,0,-1.16188256889795,8.74999868906904e-9,4.99393248188636,5.88893987303555e-10,303,282,1707,1452,1061,1084,297,268,1595,1152,64,93,14.859,12.991,70.828,64.062,49.282,54.158,13.353,12.188,68.668,52.898,2.589,3.772
Gda,0,1.33138723546603,8.76747752813771e-9,4.80762964373181,5.90649080320105e-10,225,325,113,121,82,100,712,1026,238,313,1446,1303,11.034,14.971,4.689,5.339,3.809,4.996,32.012,46.661,10.246,14.372,58.486,52.844
Sgms2,0,-2.05791978322687,8.80725401192052e-9,5.83381556002361,5.93652796270591e-10,3747,4639,959,1697,536,333,1295,1489,777,1368,254,164,183.748,213.699,39.791,74.872,24.896,16.637,58.224,67.718,33.452,62.816,10.273,6.651
Slc5a6,0,1.50418085682238,8.90205318095707e-9,5.19799570834772,6.0037026677561e-10,1533,1980,312,141,109,166,769,663,579,395,1292,1232,75.176,91.210,12.946,6.221,5.063,8.294,34.575,30.152,24.927,18.138,52.257,49.965
Mrpl53,0,1.0064913213305,8.9191361563267e-9,3.85325108167118,6.01850535733587e-10,341,358,237,238,197,197,417,319,211,152,447,470,16.722,16.492,9.834,10.501,9.150,9.842,18.749,14.508,9.084,6.980,18.080,19.061
Axin2,0,-3.06237894578175,9.03338700496321e-9,2.68854587350908,6.10557118662107e-10,88,65,151,117,70,111,55,54,725,467,5,3,4.315,2.994,6.265,5.162,3.251,5.546,2.473,2.456,31.213,21.444,0.202,0.122
Ctps,0,-1.00814954132513,9.60387454404558e-9,6.07159488401088,6.51589265948712e-10,1031,778,3714,3316,2212,1894,1124,1159,1791,1523,353,355,50.559,35.839,154.103,146.302,102.744,94.627,50.536,52.710,77.106,69.933,14.278,14.397
Gm15645,0,3.22074179254145,9.95512719461978e-9,-1.02940195718046,6.76153088828438e-10,5,11,7,18,0,5,2,4,12,10,19,17,0.245,0.507,0.290,0.794,0.000,0.250,0.090,0.182,0.517,0.459,0.768,0.689
Acad9,0,-1.04117833286936,1.01912032053207e-8,6.08016995346254,6.92562357710999e-10,1685,1978,1466,1148,823,879,3257,2162,2047,1522,869,757,82.630,91.118,60.828,50.650,38.227,43.916,146.437,98.325,88.128,69.887,35.148,30.701
Sema4g,0,1.40416439163047,1.03265495105812e-8,4.86155440357981,7.02834266730501e-10,76,175,862,901,1226,1223,425,374,314,405,581,734,3.727,8.061,35.766,39.752,56.946,61.103,19.108,17.009,13.518,18.597,23.500,29.768
C77080,0,-1.12364757811116,1.03265495105812e-8,6.37702847828587,7.03279853713741e-10,3325,3486,1220,934,1781,1842,2841,3006,1869,1099,880,795,163.053,160.585,50.621,41.208,82.724,92.029,127.734,136.709,80.464,50.464,35.593,32.242
Ldlr,0,1.43137807720802,1.03265495105812e-8,7.77557671459356,7.03066698929651e-10,2516,2891,5496,5403,12117,10098,2445,2171,3093,2621,3675,4066,123.381,133.176,228.043,238.381,562.814,504.512,109.929,98.735,133.160,120.351,148.642,164.901
Ccl2,0,-1.92832004207476,1.04244236718783e-8,5.75400626515313,7.10712574560892e-10,45,90,5614,4853,1533,1150,157,290,1198,1108,47,27,2.207,4.146,232.939,214.115,71.205,57.456,7.059,13.189,51.576,50.877,1.901,1.095
Wdhd1,0,1.57793056693016,1.04399874069108e-8,2.92712278813233,7.1215779286996e-10,306,382,120,89,47,40,158,78,188,171,224,210,15.006,17.597,4.979,3.927,2.183,1.998,7.104,3.547,8.094,7.852,9.060,8.517
Slc29a1,0,1.53475397278395,1.06035942821389e-8,7.25974410162625,7.23708281885564e-10,3079,3461,4532,3090,2702,3112,2362,1704,4589,4075,3357,3933,150.990,159.433,188.044,136.331,125.503,155.480,106.197,77.496,197.566,187.116,135.780,159.507
Rtn4ip1,0,1.06517619578321,1.06571077927017e-8,3.24296554727544,7.2775275261247e-10,192,204,131,137,143,153,264,228,124,116,314,326,9.415,9.397,5.436,6.044,6.642,7.644,11.870,10.369,5.338,5.327,12.700,13.221
Nlrc5,0,-1.64714657209658,1.07598521476888e-8,4.7469057147656,7.35164849268117e-10,264,340,1741,1533,699,374,495,409,849,955,119,60,12.946,15.662,72.238,67.636,32.467,18.686,22.256,18.601,36.551,43.852,4.813,2.433
Ncapg2,0,1.06405966138139,1.08108641909579e-8,4.65994664358776,7.39048002752119e-10,727,732,569,473,230,179,609,370,759,740,684,579,35.651,33.720,23.609,20.869,10.683,8.943,27.381,16.827,32.677,33.979,27.666,23.482
Ptpn14,0,-1.98367562235919,1.08779150781309e-8,7.76279220136265,7.44031941213633e-10,1496,1162,7957,9671,11477,10340,682,986,9776,10261,160,105,73.362,53.528,330.155,426.686,533.087,516.603,30.663,44.842,420.878,471.166,6.471,4.258
Aurka,0,1.50027615152729,1.12154219976336e-8,2.56842602768574,7.67529523367254e-10,175,161,93,69,36,37,130,99,190,127,221,181,8.582,7.417,3.859,3.044,1.672,1.849,5.845,4.502,8.180,5.832,8.939,7.341
Gm20939,0,2.41293725619558,1.13268144100125e-8,-0.674836881397269,7.75986181663908e-10,22,27,8,2,2,8,6,8,6,11,23,24,1.079,1.244,0.332,0.088,0.093,0.400,0.270,0.364,0.258,0.505,0.930,0.973
Fbrsl1,0,-1.012908482049,1.15180923246005e-8,6.35836706491157,7.89514183771692e-10,2951,3605,1849,1273,943,1073,3208,2505,2182,1733,814,941,144.713,166.067,76.720,56.165,43.801,53.609,144.234,113.925,93.940,79.576,32.924,38.163
Gpatch11,0,1.14920839126996,1.15516675323706e-8,3.59346011625301,7.92240637269174e-10,277,262,269,291,387,405,191,165,218,208,218,273,13.584,12.069,11.161,12.839,17.975,20.234,8.588,7.504,9.385,9.551,8.817,11.072
Slc38a3,0,1.99956123640164,1.20188644297728e-8,3.72790598380301,8.25166526581406e-10,52,53,280,96,43,54,357,255,77,52,641,874,2.550,2.441,11.618,4.236,1.997,2.698,16.051,11.597,3.315,2.388,25.926,35.446
Rnf145,0,1.24291002762712,1.20923733426561e-8,6.87068185016069,8.30658266703665e-10,1855,1899,1740,1750,1125,1046,3132,2834,1499,1326,4345,4438,90.967,87.479,72.197,77.210,52.254,52.260,140.817,128.887,64.535,60.887,175.741,179.987
Bvht,0,1.59985385208621,1.24630454657507e-8,2.08626916047782,8.57037859210717e-10,60,78,175,141,134,116,48,41,80,82,84,84,2.942,3.593,7.261,6.221,6.224,5.796,2.158,1.865,3.444,3.765,3.398,3.407
NA,0,-7.41124845687985,1.24630454657507e-8,-0.659683287943979,8.57005028235586e-10,48,50,3,1,0,1,21,18,6,6,0,0,2.354,2.303,0.124,0.044,0.000,0.050,0.944,0.819,0.258,0.276,0.000,0.000
Fzd5,0,-1.06934714637562,1.28525064066799e-8,6.03261622643993,8.85238308742222e-10,1025,1241,1546,1040,1239,1380,2365,1776,3220,2317,638,584,50.265,57.167,64.147,45.885,57.549,68.947,106.332,80.770,138.628,106.392,25.805,23.685
Hsdl2,0,-1.73852505424412,1.28534520135551e-8,6.90481916962684,8.85776357532972e-10,4046,5714,1930,2545,1306,1154,4924,6565,1223,1539,1150,1011,198.410,263.219,80.080,112.286,60.661,57.656,221.387,298.569,52.653,70.668,46.514,41.002
Dhrs13os,0,2.92184257208509,1.32679117598562e-8,1.2555901953895,9.1580273231135e-10,17,18,131,101,101,95,7,3,50,66,29,19,0.834,0.829,5.436,4.456,4.691,4.746,0.315,0.136,2.153,3.031,1.173,0.771
Lgmn,0,1.02825733688987,1.33562093393726e-8,4.52094333925236,9.22388790242556e-10,869,915,479,473,280,310,320,312,688,906,414,389,42.615,42.150,19.875,20.869,13.006,15.488,14.387,14.189,29.620,41.602,16.745,15.776
Gm3629,0,3.56508487630535,1.37689285593633e-8,0.17759633321341,9.51398058592454e-10,4,5,45,47,27,36,3,1,44,46,10,21,0.196,0.230,1.867,2.074,1.254,1.799,0.135,0.045,1.894,2.112,0.404,0.852
Mxd1,0,1.38967550334509,1.38769901597228e-8,5.95271614413101,9.59375418893964e-10,1459,1949,795,477,615,768,983,1287,2142,1396,1985,1746,71.547,89.782,32.987,21.045,28.566,38.370,44.196,58.531,92.218,64.102,80.287,70.811
Ulbp1,0,1.71579263695354,1.39023285180462e-8,2.27763994767521,9.61638677432091e-10,84,78,52,32,8,6,168,96,39,33,297,238,4.119,3.593,2.158,1.412,0.372,0.300,7.553,4.366,1.679,1.515,12.013,9.652
Zdhhc12,0,1.38937203629375,1.41925151446705e-8,2.11050895092435,9.83277751845707e-10,86,93,35,24,39,45,116,122,56,41,194,195,4.217,4.284,1.452,1.059,1.811,2.248,5.215,5.548,2.411,1.883,7.847,7.908
Pwwp2b,0,-1.02312347489245,1.52343597487045e-8,3.46239438809075,1.05770031442678e-9,437,437,131,128,92,97,529,487,167,150,150,161,21.430,20.131,5.436,5.647,4.273,4.846,23.784,22.148,7.190,6.888,6.067,6.530
Scnn1b,0,1.63329263228011,1.55121182013667e-8,5.15511872531233,1.07812617397188e-9,1291,2370,37,15,14,12,682,864,49,75,1691,1315,63.309,109.176,1.535,0.662,0.650,0.600,30.663,39.294,2.110,3.444,68.396,53.331
Cavin1,0,-1.64321803506621,1.55810806449542e-8,8.16715761452851,1.08406576767388e-9,1081,1405,10406,10691,21496,18706,391,396,10309,7985,81,76,53.011,64.722,431.771,471.689,998.452,934.581,17.580,18.010,443.825,366.656,3.276,3.082
Glis2,0,-1.43072218019564,1.59923667653162e-8,4.47857139530243,1.11562336314947e-9,687,602,1006,789,543,446,139,151,1304,1013,32,35,33.689,27.732,41.741,34.811,25.221,22.283,6.250,6.867,56.140,46.515,1.294,1.419
