SYMBOL,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Gmppb,0,1.70986572770767,1.07654540208721e-22,4.16602064078851,1.77054267902786e-24,261,246,115,97,89,118,519,371,181,153,838,965,12.799,11.332,4.772,4.280,4.134,5.895,23.335,16.873,7.792,7.025,33.894,39.136
Nucb2,0,1.54598911803351,1.2686018010355e-22,6.60521704005441,2.09107622379008e-24,999,1101,375,285,231,244,2610,2969,386,375,4805,5383,48.990,50.718,15.560,12.574,10.730,12.191,117.348,135.027,16.618,17.219,194.347,218.313
Pdhx,0,1.59229340820273,1.29020901768608e-22,4.57282304075084,2.13143915869256e-24,476,436,448,349,298,327,559,374,368,335,845,895,23.342,20.085,18.589,15.398,13.842,16.337,25.133,17.009,15.843,15.383,34.178,36.298
Dkkl1,0,2.01760279405299,1.29355669887578e-22,4.56612959842164,2.14172896167666e-24,889,1347,18,16,11,12,503,392,16,11,950,1298,43.595,62.050,0.747,0.706,0.511,0.600,22.615,17.828,0.689,0.505,38.424,52.642
Plekhf2,0,-1.44552609015881,1.34708374360967e-22,4.79963372573313,2.23530949765614e-24,1046,1198,637,531,374,361,1074,896,736,598,248,201,51.294,55.187,26.431,23.428,17.372,18.036,48.288,40.749,31.686,27.459,10.031,8.152
Ahnak,0,-2.10786276596893,1.65561857399661e-22,10.8028953588416,2.75337427957787e-24,87615,80156,40235,48511,67846,45904,34475,38324,35112,38503,6435,4118,4296.514,3692.438,1669.449,2140.314,3151.329,2293.436,1550.023,1742.932,1511.647,1767.986,260.275,167.009
Kdm1a,0,-1.3351469521057,2.25247739276685e-22,6.52696509465676,3.75426711403431e-24,2976,3262,3014,2517,1722,1767,2532,2450,2745,2361,618,612,145.939,150.266,125.058,111.050,79.984,88.282,113.841,111.423,118.178,108.413,24.996,24.820
Slc1a4,0,1.59837237647755,2.41716405708272e-22,4.96742199319802,4.03764848565273e-24,1045,1129,193,132,214,186,802,586,245,166,1242,1361,51.245,52.008,8.008,5.824,9.940,9.293,36.059,26.651,10.548,7.622,50.235,55.197
Calr4,0,4.73629277378872,2.54973280770002e-22,-0.946178230687954,4.26847355496343e-24,20,4,2,7,5,1,2,2,0,2,37,33,0.981,0.184,0.083,0.309,0.232,0.050,0.090,0.091,0.000,0.092,1.497,1.338
Kifc3,0,-2.00194810904333,2.56143740882806e-22,5.41735122753025,4.29749239642959e-24,1319,1216,1623,1577,1328,1128,609,791,1616,1168,111,108,64.682,56.016,67.342,69.578,61.683,56.357,27.381,35.974,69.572,53.632,4.490,4.380
Bdh1,0,1.58998654065253,2.75505371826868e-22,5.38173754160831,4.63247194248791e-24,1263,1121,155,161,166,115,1208,893,106,98,1982,1935,61.936,51.640,6.431,7.103,7.710,5.746,54.313,40.613,4.564,4.500,80.166,78.476
Coro1c,0,-1.92558037839727,3.46224662492645e-22,5.13862846426949,5.83431676741717e-24,756,868,1020,1054,2139,1899,326,327,921,705,60,47,37.073,39.985,42.322,46.503,99.353,94.877,14.657,14.872,39.651,32.372,2.427,1.906
Slc1a5,0,-2.00672576764829,3.92850449218854e-22,5.74210291873819,6.63447353439987e-24,639,558,2664,2316,1824,1554,313,363,3080,2682,52,53,31.336,25.705,110.536,102.182,84.722,77.640,14.073,16.509,132.601,123.152,2.103,2.149
Chmp2b,0,-1.45654634335415,4.16275509857414e-22,6.53283548487618,7.04539293330919e-24,2669,2923,2300,2181,2215,1903,3179,3448,1771,1689,810,698,130.884,134.650,95.433,96.226,102.883,95.077,142.930,156.811,76.245,77.556,32.762,28.308
Adcy1,0,3.24641834382355,4.20969945444233e-22,0.755810310828847,7.14033425989886e-24,31,36,56,53,14,7,13,9,34,44,58,73,1.520,1.658,2.324,2.338,0.650,0.350,0.584,0.409,1.464,2.020,2.346,2.961
Cck,0,2.74604979881045,4.72349796770927e-22,4.1026767573712,8.02919923868311e-24,339,324,18,30,265,404,287,159,19,14,761,1083,16.624,14.925,0.747,1.324,12.309,20.184,12.904,7.231,0.818,0.643,30.780,43.922
Kank4,0,-1.83219738549011,5.88338162506923e-22,6.1840839222087,1.00224647426581e-23,468,509,4739,3901,2875,3215,388,351,2524,2368,53,76,22.950,23.447,196.633,172.113,133.539,160.626,17.445,15.963,108.664,108.734,2.144,3.082
Tmem64,0,1.35023852254553,6.8135385576175e-22,6.21347284853486,1.1632075833307e-23,735,689,2198,1879,1718,1715,1000,1061,2669,2402,1546,1734,36.043,31.739,91.200,82.902,79.798,85.684,44.961,48.253,114.906,110.295,62.531,70.324
Gzf1,0,1.6821845238048,7.51390902620972e-22,4.0764028904819,1.28553945957817e-23,275,238,296,259,396,334,286,269,398,285,529,580,13.486,10.964,12.282,11.427,18.394,16.687,12.859,12.234,17.135,13.087,21.396,23.522
Lama4,0,-2.04646120596849,8.26959733774514e-22,5.33950855866973,1.41787128275111e-23,654,731,1506,928,1283,1486,770,584,2112,1619,96,107,32.071,33.674,62.488,40.944,59.593,74.243,34.620,26.560,90.926,74.341,3.883,4.339
Ddah2,0,-2.39840244724251,8.404049495673e-22,4.86494322367569,1.44401601033125e-23,943,1284,414,381,744,725,716,1006,1120,906,134,71,46.243,59.148,17.178,16.810,34.558,36.222,32.192,45.752,48.218,41.602,5.420,2.879
Oxct1,0,2.43952433567204,8.49917848653802e-22,7.33035436201103,1.46348855060885e-23,1197,1365,2926,2016,4349,3707,1780,1580,4167,3525,5847,5485,58.699,62.880,121.407,88.946,202.003,185.208,80.030,71.857,179.398,161.861,236.493,222.449
Lurap1l,0,-1.54307327838319,9.77884043848916e-22,5.06977362469237,1.68743374136334e-23,1893,1801,484,423,484,591,1141,993,813,611,232,223,92.830,82.964,20.082,18.663,22.481,29.527,51.300,45.161,35.001,28.056,9.384,9.044
Angpt1,0,2.77212576958941,1.19045576469374e-21,5.86994110858044,2.05862691565568e-23,1252,1418,72,144,103,125,611,996,60,57,3328,3593,61.396,65.321,2.987,6.353,4.784,6.245,27.471,45.297,2.583,2.617,134.607,145.718
Padi2,0,2.79466145664828,1.21186753950721e-21,3.13376776279209,2.10011262779313e-23,807,869,124,118,104,134,34,14,78,71,104,103,39.574,40.031,5.145,5.206,4.831,6.695,1.529,0.637,3.358,3.260,4.206,4.177
Klhl22,0,1.79175691969753,1.34989676678275e-21,4.27879583042318,2.34427783921947e-23,361,323,620,518,524,650,157,185,610,495,355,385,17.703,14.879,25.725,22.854,24.339,32.475,7.059,8.414,26.262,22.729,14.359,15.614
Aqp5,0,2.54168338504368,1.36880383125448e-21,3.97036364725087,2.38214876258643e-23,1627,2143,4,2,2,1,99,61,32,44,228,349,79.786,98.719,0.166,0.088,0.093,0.050,4.451,2.774,1.378,2.020,9.222,14.154
Patl1,0,-1.34500534337347,1.51518938552742e-21,5.60878260784545,2.64248047661797e-23,1819,1915,1295,1161,989,928,1214,1106,1601,1614,312,256,89.201,88.216,53.733,51.224,45.937,46.364,54.582,50.300,68.927,74.112,12.619,10.382
Zfp275,0,2.14361235328134,1.59173325652089e-21,3.70047223508989,2.78182897401458e-23,234,235,383,314,351,372,75,60,708,514,204,167,11.475,10.825,15.892,13.854,16.303,18.586,3.372,2.729,30.481,23.602,8.251,6.773
Tmem189,0,1.1937951680542,1.70249820460025e-21,5.47905150120605,2.98167388568277e-23,1240,1454,558,496,462,421,1069,1016,625,565,1439,1531,60.808,66.979,23.153,21.884,21.459,21.034,48.063,46.207,26.908,25.944,58.203,62.091
Rmnd5b,0,-1.37404381979637,1.84448385781713e-21,4.5111648430761,3.23712719444708e-23,671,789,504,403,285,310,977,850,558,543,216,222,32.905,36.346,20.912,17.780,13.238,15.488,43.927,38.657,24.023,24.934,8.737,9.003
Casp12,0,-1.95600462786512,1.95998762866114e-21,5.51610232659014,3.44705135030731e-23,701,656,1854,1966,2020,1948,562,762,1188,1271,105,109,34.376,30.219,76.927,86.740,93.825,97.325,25.268,34.655,51.146,58.362,4.247,4.421
NA,0,-1.78075973382199,2.26014874462718e-21,6.28256237652495,3.98326372815931e-23,4501,4314,1644,1849,2279,1746,1438,1598,1541,1648,302,250,220.723,198.727,68.214,81.578,105.856,87.233,64.654,72.675,66.343,75.673,12.215,10.139
Gm11127,0,2.27014917333126,2.28317963873346e-21,3.01832480860437,4.03225367597063e-23,62,82,68,40,40,29,203,135,46,43,504,505,3.040,3.777,2.821,1.765,1.858,1.449,9.127,6.140,1.980,1.974,20.385,20.481
1700001O22Rik,0,2.39993741763422,2.32162365104168e-21,1.91676239995022,4.10869044538448e-23,121,134,20,20,20,23,65,57,23,28,190,211,5.934,6.173,0.830,0.882,0.929,1.149,2.922,2.592,0.990,1.286,7.685,8.557
Car8,0,2.07482457914345,2.43891439618586e-21,3.95911548824748,4.32523911461638e-23,651,743,52,56,42,59,156,222,537,529,552,447,31.924,34.227,2.158,2.471,1.951,2.948,7.014,10.096,23.119,24.291,22.327,18.129
Mpg,0,1.5759125326332,2.43958172672479e-21,3.81837375799738,4.3353985577397e-23,394,412,284,287,239,235,230,214,227,249,409,415,19.321,18.979,11.784,12.662,11.101,11.741,10.341,9.732,9.773,11.434,16.543,16.831
Tnfrsf11a,0,1.6333233951701,2.85066702184979e-21,5.3986318325974,5.07642973831009e-23,321,258,1155,1213,1891,1929,422,478,721,601,795,950,15.741,11.885,47.924,53.518,87.834,96.376,18.973,21.739,31.041,27.597,32.155,38.528
Rdh11,0,1.41867585263578,2.85618304717612e-21,5.25601527912885,5.09676138886794e-23,509,520,1551,1262,1331,1108,420,385,920,859,739,600,24.961,23.954,64.355,55.680,61.823,55.357,18.884,17.509,39.608,39.444,29.890,24.334
Dcxr,0,-1.47872178438213,3.16224238352781e-21,4.50560762333685,5.65454872657021e-23,842,952,208,155,162,142,1545,1168,155,112,303,300,41.290,43.854,8.630,6.839,7.525,7.095,69.464,53.119,6.673,5.143,12.255,12.167
Rac3,0,-1.98937263378976,3.24238516273374e-21,3.80953041071378,5.8217151455685e-23,688,618,382,263,298,299,471,399,240,206,68,68,33.739,28.469,15.850,11.604,13.842,14.939,21.177,18.146,10.333,9.459,2.750,2.758
Angptl4,0,-4.02567400100481,3.24238516273374e-21,8.67248272143411,5.81791768828321e-23,2232,4110,17385,22103,15666,13678,7102,10709,9853,14603,448,240,109.454,189.330,721.346,975.188,727.658,683.374,319.311,487.033,424.193,670.542,18.120,9.733
Shb,0,-1.79573667550249,3.41254227713505e-21,6.08872324014913,6.13978871010353e-23,2216,2656,2587,1889,839,690,2483,1761,1785,2199,364,392,108.669,122.350,107.341,83.343,38.970,34.473,111.638,80.088,76.848,100.974,14.723,15.898
Gpr180,0,1.304388274015,3.42112889233568e-21,4.48102963664707,6.16782500181937e-23,297,313,387,376,387,408,550,422,413,366,730,759,14.564,14.419,16.058,16.589,17.975,20.384,24.728,19.192,17.781,16.806,29.526,30.782
Stim1,0,1.51639336293264,3.45413203471786e-21,6.33438761443482,6.24003395653434e-23,1174,1373,2952,3033,2779,2761,254,271,3952,4166,470,467,57.571,63.248,122.486,133.816,129.080,137.944,11.420,12.325,170.142,191.295,19.010,18.940
Pkd2l2,0,-2.39416763746561,4.00586270247285e-21,3.72589178518395,7.25149729429575e-23,315,316,448,442,599,529,235,173,364,312,25,23,15.447,14.557,18.589,19.501,27.823,26.430,10.566,7.868,15.671,14.326,1.011,0.933
Hmgcs2,0,-4.1630885342118,4.21057304433291e-21,3.5408419386243,7.6375602886645e-23,1718,1244,13,18,11,7,170,316,42,30,6,11,84.248,57.306,0.539,0.794,0.511,0.350,7.643,14.371,1.808,1.378,0.243,0.446
Znrf1,0,-1.36402332656787,4.32578303961039e-21,6.59729314676825,7.86245565167053e-23,3975,4101,2573,2032,1383,1430,3404,2714,2440,2301,737,737,194.928,188.915,106.760,89.652,64.238,71.445,153.046,123.430,105.047,105.658,29.809,29.890
Rrm2,0,1.84421509394104,4.7088454131648e-21,5.19378496153041,8.5760273722969e-23,573,606,1204,965,301,230,643,378,1028,1062,1249,1011,28.099,27.916,49.957,42.576,13.981,11.491,28.910,17.191,44.258,48.765,50.518,41.002
S100a11,0,-1.95865151941454,4.93094116753975e-21,6.75144042127808,8.998663744434e-23,5882,6145,2170,2557,3263,2448,2024,2369,2240,2211,391,316,288.445,283.073,90.039,112.815,151.561,122.306,91.001,107.739,96.437,101.525,15.815,12.816
Ptprg,0,-2.36320444164454,5.07033035018776e-21,7.08092417438605,9.27169573583766e-23,3313,2952,5969,5503,5406,5525,1438,1175,4325,4235,169,146,162.465,135.986,247.668,242.793,251.099,276.038,64.654,53.438,186.201,194.463,6.836,5.921
Fkbp11,0,2.2490379516492,5.49608059996397e-21,6.84236772238783,1.00704519621107e-22,665,569,275,202,143,115,2575,2217,351,355,7010,7143,32.611,26.211,11.410,8.912,6.642,5.746,115.774,100.827,15.111,16.301,283.532,289.691
Apol7a,0,2.39437644735224,5.59885563292881e-21,3.28795487666358,1.02793662784925e-22,96,160,18,14,13,13,179,219,7,2,628,682,4.708,7.371,0.747,0.618,0.604,0.650,8.048,9.960,0.301,0.092,25.401,27.659
Rassf5,0,-2.0832519761166,5.76798249747484e-21,4.00237750577867,1.06111013971722e-22,322,373,572,521,516,381,338,349,604,535,39,62,15.790,17.182,23.734,22.987,23.967,19.035,15.197,15.872,26.004,24.566,1.577,2.514
Gsdmc4,0,4.15704662658578,5.89479431683082e-21,-0.165814909735489,1.08660802558308e-22,4,0,23,23,43,37,1,5,6,3,31,38,0.196,0.000,0.954,1.015,1.997,1.849,0.045,0.227,0.258,0.138,1.254,1.541
Trim2,0,-1.55045276921418,6.28716994784435e-21,4.81362435073379,1.16124924162694e-22,754,850,582,549,547,586,1028,1287,524,508,254,241,36.975,39.156,24.149,24.222,25.407,29.277,46.220,58.531,22.559,23.326,10.273,9.774
Slc27a1,0,-2.41699411157464,6.53857356957768e-21,5.70852517193576,1.21008959325125e-22,1283,2500,491,429,139,157,3054,4036,598,690,432,401,62.916,115.164,20.373,18.928,6.456,7.844,137.310,183.553,25.745,31.684,17.473,16.263
Ggt5,0,2.28083572631262,7.7234548758917e-21,3.57385131074729,1.43221651181037e-22,295,205,257,242,205,226,142,152,120,161,421,471,14.466,9.443,10.664,10.677,9.522,11.291,6.384,6.913,5.166,7.393,17.028,19.102
Gm3667,0,5.46164969070121,7.74183364036705e-21,0.279902387637477,1.43847308156494e-22,0,1,38,42,48,33,1,1,40,41,31,30,0.000,0.046,1.577,1.853,2.230,1.649,0.045,0.045,1.722,1.883,1.254,1.217
Csnk1e,0,-1.54455206973853,8.30072203480907e-21,5.60869455231777,1.54537155510261e-22,2043,2487,941,961,748,748,1368,1652,1319,1167,335,313,100.186,114.565,39.044,42.399,34.743,37.371,61.506,75.131,56.786,53.586,13.550,12.694
Foxred2,0,2.09081742979718,8.55784884494086e-21,3.70599631591233,1.59639036181795e-22,214,250,469,356,252,290,121,105,354,447,270,329,10.494,11.516,19.460,15.707,11.705,14.489,5.440,4.775,15.240,20.525,10.921,13.343
Fam8a1,0,1.46731785290533,8.93549944086435e-21,4.57556335789868,1.67012536000555e-22,433,492,313,330,298,368,504,530,280,310,866,918,21.234,22.664,12.987,14.560,13.842,18.386,22.660,24.104,12.055,14.235,35.027,37.230
Gm15471,0,2.79285970051096,9.64266280879714e-21,-0.69593281706534,1.8058484012207e-22,2,4,2,4,1,1,12,11,0,1,57,43,0.098,0.184,0.083,0.176,0.046,0.050,0.540,0.500,0.000,0.046,2.305,1.744
Psd,0,-1.39077765479013,9.64587203988504e-21,6.20656817074887,1.80999843273902e-22,2067,2171,2432,1846,1629,1728,1901,1584,2867,2398,434,391,101.363,100.009,100.910,81.446,75.664,86.334,85.470,72.039,123.431,110.112,17.554,15.857
Stra6l,0,-5.16294156137456,1.0262536708217e-20,1.83072602068674,1.92948830269653e-22,283,446,12,12,1,3,133,106,10,15,2,2,13.878,20.545,0.498,0.529,0.046,0.150,5.980,4.821,0.431,0.689,0.081,0.081
Jade3,0,-2.08721701175294,1.059552757284e-20,4.11675875939887,1.99599327322347e-22,425,569,553,352,352,245,631,572,563,507,83,93,20.841,26.211,22.945,15.530,16.350,12.241,28.370,26.014,24.238,23.280,3.357,3.772
Cdhr1,0,1.92634128508507,1.05998956735451e-20,3.54878056100892,2.00071617076737e-22,579,677,110,123,76,73,195,139,141,106,362,425,28.393,31.186,4.564,5.427,3.530,3.647,8.767,6.322,6.070,4.867,14.642,17.236
Phc2,0,-1.56728231896301,1.0809983707839e-20,6.33408799460127,2.04434733648377e-22,2445,3186,2806,2272,1543,1386,2465,1879,2185,2393,490,418,119.899,146.765,116.428,100.241,71.670,69.247,110.828,85.455,94.069,109.882,19.819,16.952
Gm19639,0,1.96307447922403,1.1239124957408e-20,3.50092494870947,2.12964029326506e-22,37,31,22,6,8,8,338,292,0,4,709,818,1.814,1.428,0.913,0.265,0.372,0.400,15.197,13.280,0.000,0.184,28.677,33.175
Hlf,0,1.62889386865523,1.17967420729521e-20,6.03332757121384,2.23964049804749e-22,499,558,865,626,542,475,1584,1751,148,201,2994,3452,24.470,25.705,35.891,27.619,25.175,23.732,71.218,79.633,6.372,9.230,121.098,139.999
Pon2,0,-1.67180385276347,1.33955978239528e-20,5.05147810281864,2.54811585230641e-22,1699,1495,674,778,876,832,633,640,920,957,119,130,83.317,68.868,27.966,34.325,40.689,41.568,28.460,29.106,39.608,43.944,4.813,5.272
Gm2897,0,4.20446837453449,1.3441560946612e-20,1.75330063701346,2.56180454407631e-22,13,13,153,122,118,100,2,7,122,148,53,53,0.638,0.599,6.348,5.383,5.481,4.996,0.090,0.318,5.252,6.796,2.144,2.149
Mmut,0,1.22430075002069,1.36122338612244e-20,5.40917367932373,2.5993411729554e-22,708,643,716,584,867,807,965,944,614,550,1379,1400,34.719,29.620,29.709,25.766,40.271,40.319,43.387,42.932,26.434,25.255,55.776,56.778
Slc22a3,0,-10.0504694226534,1.3704871791834e-20,0.798191134661286,2.62207341394226e-22,57,40,14,8,2,7,175,73,42,42,0,0,2.795,1.843,0.581,0.353,0.093,0.350,7.868,3.320,1.808,1.929,0.000,0.000
Golph3l,0,1.75309700066551,1.50550810585212e-20,3.92127120166248,2.88594033315779e-22,441,460,185,147,231,271,281,226,257,173,565,496,21.626,21.190,7.676,6.486,10.730,13.540,12.634,10.278,11.064,7.944,22.852,20.116
Tnfaip8,0,1.54607504473975,1.53615558009715e-20,5.06777318045079,2.9503411192859e-22,1063,1202,1312,1267,986,911,220,211,730,790,335,449,52.128,55.371,54.438,55.900,45.798,45.515,9.891,9.596,31.428,36.275,13.550,18.210
Tmsb10,0,-1.79445487946726,1.54422435512195e-20,5.39353541481143,2.97151969435512e-22,828,804,1659,1940,1427,1127,743,866,1209,1239,147,143,40.604,37.037,68.836,85.593,66.282,56.307,33.406,39.385,52.050,56.893,5.946,5.800
Sfrp1,0,2.66488947007829,1.75069950164443e-20,6.34492010540046,3.3752770111545e-22,317,276,1134,1677,2391,2146,562,811,2989,1625,2531,2944,15.545,12.714,47.052,73.990,111.058,107.218,25.268,36.883,128.683,74.617,102.371,119.397
Foxc1,0,-1.76780989542599,1.76758784240607e-20,4.64002301820076,3.41434054697812e-22,665,941,567,643,283,360,1023,1031,546,539,175,201,32.611,43.348,23.526,28.369,13.145,17.986,45.995,46.889,23.506,24.750,7.078,8.152
Dolk,0,2.03939753897184,1.9179739226415e-20,3.16752784448423,3.71188889697718e-22,188,178,184,138,129,104,153,131,109,141,345,381,9.219,8.200,7.635,6.089,5.992,5.196,6.879,5.958,4.693,6.474,13.954,15.452
Crym,0,3.75931949536816,2.01208764680113e-20,3.00133971187422,3.90143195063907e-22,1247,945,2,6,2,4,6,12,26,11,78,76,61.151,43.532,0.083,0.265,0.093,0.200,0.270,0.546,1.119,0.505,3.155,3.082
NA,0,2.90320854560754,2.01338181580526e-20,-0.729024505278078,3.91134919881224e-22,3,6,2,2,1,2,9,11,0,5,47,47,0.147,0.276,0.083,0.088,0.046,0.100,0.405,0.500,0.000,0.230,1.901,1.906
Dhodh,0,1.35039076515526,2.10084386117177e-20,4.63390773529916,4.08898930262286e-22,444,463,326,233,185,191,666,611,352,260,1052,974,21.773,21.328,13.527,10.280,8.593,9.543,29.944,27.788,15.154,11.939,42.550,39.501
Zdhhc21,0,1.21008815210341,2.5382158977713e-20,5.63523255551255,4.94960972007355e-22,1407,1366,885,713,795,745,1063,884,997,896,1424,1373,68.997,62.926,36.721,31.458,36.926,37.221,47.793,40.203,42.923,41.143,57.596,55.683
Plcb1,0,1.63645870685035,2.54685355161927e-20,5.83967557432588,4.97582411387406e-22,534,636,1935,2174,4054,3594,176,209,905,793,380,368,26.187,29.298,80.288,95.917,188.301,179.562,7.913,9.505,38.962,36.413,15.370,14.925
Cog6,0,1.43196507361864,2.67655205987236e-20,5.00641823361729,5.23906580761653e-22,524,655,477,513,500,479,803,575,413,402,1078,1224,25.696,30.173,19.792,22.634,23.224,23.932,36.104,26.150,17.781,18.459,43.602,49.640
Trp53,0,-2.02281097170355,2.69868847067327e-20,5.95832106214641,5.29232479071655e-22,1845,2023,2564,1527,1160,1239,1741,1267,2772,1809,229,229,90.476,93.191,106.387,67.371,53.880,61.902,78.277,57.622,119.341,83.066,9.262,9.287
Hephl1,0,1.85129407887217,2.71163458923055e-20,6.11370894177792,5.32769002041692e-22,8,10,60,38,31,32,1611,2232,2,0,4179,4532,0.392,0.461,2.490,1.677,1.440,1.599,72.432,101.509,0.086,0.000,169.027,183.800
Aldh18a1,0,1.56051884321937,2.74230410117335e-20,6.61585036705319,5.39803780171361e-22,993,1029,2229,1841,1265,1186,2375,1677,1561,1135,3463,3930,48.695,47.402,92.487,81.225,58.757,59.254,106.782,76.268,67.204,52.117,140.067,159.385
Mpi,0,1.83256351148476,2.94331489709299e-20,4.40162207933796,5.80454315773885e-22,443,474,257,202,230,173,471,366,264,145,872,977,21.724,21.835,10.664,8.912,10.683,8.643,21.177,16.645,11.366,6.658,35.270,39.623
Rtn4,0,-2.53084913434483,3.08501889561958e-20,8.74323689009789,6.09534989126795e-22,9703,12186,17858,16807,13204,9809,11336,11338,8256,11740,1261,1185,475.821,561.356,740.972,741.528,613.303,490.073,509.675,515.639,355.439,539.079,51.003,48.059
Sigmar1,0,1.40735308643829,3.15398710473666e-20,4.41024736309598,6.2432210984522e-22,369,395,254,181,244,212,581,436,357,305,872,800,18.095,18.196,10.539,7.986,11.333,10.592,26.122,19.829,15.370,14.005,35.270,32.445
Nme4,0,-2.91878858649797,3.19715503535818e-20,2.22482898446021,6.34043402648389e-22,141,147,108,88,18,27,249,215,152,111,25,13,6.914,6.772,4.481,3.883,0.836,1.349,11.195,9.778,6.544,5.097,1.011,0.527
Ncf2,0,-2.91937844895568,3.34161254790466e-20,0.302133653058524,6.63920959515992e-22,20,27,16,13,1,4,99,97,8,11,10,6,0.981,1.244,0.664,0.574,0.046,0.200,4.451,4.411,0.344,0.505,0.404,0.243
Ngly1,0,1.45408065192072,3.55051594719408e-20,4.78694871639057,7.0673281851135e-22,653,653,614,700,930,923,325,321,549,486,496,607,32.022,30.081,25.476,30.884,43.197,46.115,14.612,14.599,23.636,22.316,20.062,24.617
Muc1,0,2.74362534844219,4.24668611637597e-20,7.69263820253829,8.46868492246137e-22,2524,2505,181,149,166,191,2804,3453,239,144,12029,14232,123.773,115.394,7.510,6.574,7.710,9.543,126.070,157.038,10.289,6.612,486.535,577.192
Klk10,0,-2.39759432387547,4.90312208786266e-20,3.99458750412758,9.79578091066421e-22,1393,2111,26,41,0,1,489,549,35,51,59,64,68.311,97.245,1.079,1.809,0.000,0.050,21.986,24.968,1.507,2.342,2.386,2.596
Aldoc,0,2.59286138205562,5.1604927239771e-20,8.01557673052563,1.03289600126699e-21,3873,4880,397,285,372,360,4352,3917,261,357,14231,16799,189.926,224.800,16.473,12.574,17.279,17.986,195.669,178.141,11.237,16.393,575.599,681.299
Gab1,0,-1.36617446066781,5.38640588811879e-20,6.59276971115476,1.08009537106764e-21,2701,2579,2766,2753,2606,2433,2683,2598,2508,2492,688,588,132.453,118.803,114.768,121.463,121.044,121.556,120.630,118.154,107.975,114.428,27.827,23.847
Plce1,0,1.36733993375409,5.5665671805779e-20,6.02280451576072,1.11826987033943e-21,1470,1296,1644,1384,993,1076,793,645,3398,2962,1078,1225,72.087,59.701,68.214,61.062,46.123,53.759,35.654,29.334,146.291,136.009,43.602,49.681
Dlgap4,0,-1.51755265445887,5.6690716839898e-20,5.53044006552951,1.14094786825947e-21,1027,1082,1667,1526,1411,1207,680,808,2000,1829,165,160,50.363,49.843,69.168,67.327,65.538,60.304,30.573,36.747,86.104,83.984,6.674,6.489
Tprn,0,-1.66818761120524,5.83791348145064e-20,4.32213585799463,1.17707663557708e-21,651,772,278,223,129,126,1014,1152,395,271,196,230,31.924,35.563,11.535,9.839,5.992,6.295,45.590,52.392,17.006,12.444,7.928,9.328
Mmp28,0,3.34003583980913,6.31371707950997e-20,1.60022924583021,1.27533414645534e-21,7,9,7,19,26,19,32,42,25,22,200,270,0.343,0.415,0.290,0.838,1.208,0.949,1.439,1.910,1.076,1.010,8.089,10.950
Slc22a4,0,-3.04515663301899,6.3622889635782e-20,2.66186035048082,1.28748626879871e-21,233,295,118,179,76,46,347,318,43,43,24,26,11.426,13.589,4.896,7.898,3.530,2.298,15.601,14.462,1.851,1.974,0.971,1.054
Adgrl3,0,-3.39765921539418,6.48917702670332e-20,5.12950872139896,1.3155511761704e-21,270,319,1681,2075,1818,1940,154,120,683,1039,8,8,13.240,14.695,69.749,91.549,84.443,96.925,6.924,5.457,29.405,47.709,0.324,0.324
Zdhhc8,0,-1.31558183681685,7.71564536191722e-20,5.60127148915597,1.56703198785029e-21,992,1228,1556,1426,1526,1523,1093,1061,1590,1322,268,271,48.646,56.569,64.562,62.915,70.880,76.091,49.142,48.253,68.453,60.704,10.840,10.991
Gsdmc2,0,5.01836302001933,8.48539576262346e-20,-1.29399029212448,1.7264887805772e-21,1,0,3,2,5,4,1,2,2,0,35,30,0.049,0.000,0.124,0.088,0.232,0.200,0.045,0.091,0.086,0.000,1.416,1.217
Rnase10,0,3.93952674329611,8.95289029038618e-20,-1.0777839707543,1.82490202762204e-21,1,0,1,0,1,1,4,5,0,0,39,49,0.049,0.000,0.041,0.000,0.046,0.050,0.180,0.227,0.000,0.000,1.577,1.987
Mfsd10,0,1.20710863903369,9.14468713043421e-20,5.79707714338333,1.867361329479e-21,1249,1321,1334,1187,823,864,1051,934,1390,1292,1310,1540,61.249,60.853,55.351,52.371,38.227,43.167,47.254,42.477,59.842,59.326,52.985,62.456
Apol8,0,-3.61089112368647,9.4498745531517e-20,2.98676769100932,1.93315804538517e-21,85,106,286,271,270,308,112,182,332,278,7,8,4.168,4.883,11.867,11.957,12.541,15.388,5.036,8.277,14.293,12.765,0.283,0.324
Sox4,0,-2.40273544865365,1.03193360993107e-19,7.69924859972671,2.1148203419243e-21,5262,5501,8018,7787,2396,2330,7342,6177,6737,7826,887,700,258.041,253.407,332.687,343.564,111.290,116.410,330.102,280.923,290.042,359.355,35.876,28.389
Fcna,0,5.21472262853081,1.03781705674391e-19,1.83544957089622,2.13069619067332e-21,0,8,2,1,5,3,5,24,2,4,336,352,0.000,0.369,0.083,0.044,0.232,0.150,0.225,1.091,0.086,0.184,13.590,14.276
