SYMBOL,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Fam168b,6028,5643,6557,5811,5162,4708,4211,4752,4091,3482,1764,1717
Plekhb2,488,557,398,361,314,268,1395,1428,329,377,262,247
Hs6st1,4283,3843,3703,3682,2181,1817,3587,3776,5203,4797,2101,2097
Uggt1,2932,2375,2220,2113,1951,2043,2730,2692,3120,2388,2553,2691
Neurl3,204,294,63,29,44,26,67,79,7,6,14,15
Arid5a,19388,14215,6976,6965,10862,10687,3911,3897,1590,1328,1643,1777
Kansl3,2331,2293,2202,2021,1987,1817,2254,2375,1815,1660,825,855
Lman2l,367,287,297,246,273,254,696,778,356,302,406,382
Cnnm4,1581,1359,998,698,658,617,685,740,346,212,284,322
Cnnm3,396,268,117,121,101,173,519,454,318,240,319,349
Ankrd23,128,105,92,105,110,119,139,203,103,95,105,125
Ankrd39,96,101,133,112,98,115,140,163,106,86,97,124
Sema4c,7026,5219,5233,4421,2553,2422,6550,6010,2300,2049,978,792
Fam178b,14,6,17,16,18,13,35,44,91,42,4,2
Cox5b,646,583,787,780,476,464,857,833,908,717,596,619
Actr1b,2703,2537,2563,2524,2471,2248,1965,2234,2116,1835,1304,1306
4933424G06Rik,8,9,12,9,5,3,3,2,1,1,1,1
Zap70,1,19,13,10,2,4,1,4,0,0,1,0
Tmem131,2896,2643,2665,2640,2830,2695,1910,2204,2038,1728,954,947
Vwa3b,14,7,2,7,6,7,2,1,2,0,0,0
Cnga3,4,16,3,3,6,3,0,3,0,0,0,0
Inpp4a,699,572,627,538,868,823,333,384,322,336,128,131
Coa5,808,737,844,803,801,768,1507,1654,1962,1589,1059,1225
Unc50,529,511,464,424,400,439,558,666,575,506,375,344
Mgat4a,1008,982,810,708,848,787,1683,1737,1672,1520,1062,1048
4930594C11Rik,111,134,172,103,92,72,141,120,128,121,107,95
NA,0,0,0,0,0,0,0,0,0,0,0,0
2010300C02Rik,22,14,46,32,16,12,856,1015,948,819,582,599
Gm19863,0,0,0,0,0,0,0,0,0,2,2,3
Tsga10,27,36,36,36,41,43,47,57,33,46,18,17
